txn_uid,business_date,txn_ref,amount_minor,currency,side,source_system,event_ts
INT-0000248,2026-07-06,M018-d8cdadc4,288234,GBP,DEBIT,INTERNAL,2026-07-06 12:02:32
INT-0000249,2026-07-06,M013-078c7632,421898,JPY,DEBIT,INTERNAL,2026-07-06 05:12:30
INT-0000250,2026-07-06,M002-aeae0ffa,213266,USD,DEBIT,INTERNAL,2026-07-06 20:20:06
INT-0000251,2026-07-06,M013-cb2c8a27,433032,EUR,DEBIT,INTERNAL,2026-07-06 22:55:11
INT-0000252,2026-07-06,M009-bf742b65,476945,GBP,DEBIT,INTERNAL,2026-07-06 17:13:53
INT-0000253,2026-07-06,M008-51acbd3d,80431,EUR,DEBIT,INTERNAL,2026-07-06 16:45:32
INT-0000254,2026-07-06,M009-b9e28c9e,54398,JPY,DEBIT,INTERNAL,2026-07-06 13:16:51
INT-0000255,2026-07-06,M015-404bf7ba,383586,JPY,DEBIT,INTERNAL,2026-07-06 06:21:13
INT-0000256,2026-07-06,M009-081598a8,292109,USD,DEBIT,INTERNAL,2026-07-06 07:18:46
INT-0000257,2026-07-06,M015-f264d9b1,275843,USD,DEBIT,INTERNAL,2026-07-06 23:09:40
INT-0000258,2026-07-06,M013-dd8b7c46,22390,GBP,DEBIT,INTERNAL,2026-07-06 10:44:58
INT-0000259,2026-07-06,M019-a22eccdf,33716,GBP,DEBIT,INTERNAL,2026-07-06 07:23:44
INT-0000260,2026-07-06,M001-eeddf52e,311285,USD,DEBIT,INTERNAL,2026-07-06 20:30:57
INT-0000261,2026-07-06,M005-6c19ace3,351972,USD,DEBIT,INTERNAL,2026-07-06 08:27:43
INT-0000262,2026-07-06,M019-26e16af1,53823,USD,DEBIT,INTERNAL,2026-07-06 18:05:35
INT-0000263,2026-07-06,M014-4aa60588,213858,EUR,DEBIT,INTERNAL,2026-07-06 01:49:26
INT-0000264,2026-07-06,M009-d1997cd8,291843,GBP,DEBIT,INTERNAL,2026-07-06 14:22:24
INT-0000265,2026-07-06,M005-bef4ba6e,109293,USD,DEBIT,INTERNAL,2026-07-06 19:32:45
INT-0000266,2026-07-06,M018-02da187e,382842,USD,DEBIT,INTERNAL,2026-07-06 11:26:31
INT-0000267,2026-07-06,M007-6615d314,213363,JPY,DEBIT,INTERNAL,2026-07-06 16:11:51
INT-0000268,2026-07-06,M003-5f796546,94958,JPY,DEBIT,INTERNAL,2026-07-06 00:31:00
INT-0000269,2026-07-06,M015-1d78ed41,106210,USD,DEBIT,INTERNAL,2026-07-06 03:19:57
INT-0000270,2026-07-06,M005-97a498a6,84461,USD,DEBIT,INTERNAL,2026-07-06 16:14:59
INT-0000271,2026-07-06,M008-c49726e4,17771,JPY,DEBIT,INTERNAL,2026-07-06 11:55:41
INT-0000272,2026-07-06,M014-31b3629f,356442,GBP,DEBIT,INTERNAL,2026-07-06 14:36:48
INT-0000273,2026-07-06,M016-89264f87,105624,USD,DEBIT,INTERNAL,2026-07-06 17:38:56
INT-0000274,2026-07-06,M010-30b64915,304645,USD,DEBIT,INTERNAL,2026-07-06 21:48:05
INT-0000275,2026-07-06,M015-b5392e33,130206,JPY,DEBIT,INTERNAL,2026-07-06 11:59:55
INT-0000276,2026-07-06,M020-113d4db2,242404,JPY,DEBIT,INTERNAL,2026-07-06 01:18:25
INT-0000277,2026-07-06,M006-a0f94833,89470,GBP,DEBIT,INTERNAL,2026-07-06 03:16:41
INT-0000278,2026-07-06,M004-3ae7518b,260614,EUR,DEBIT,INTERNAL,2026-07-06 09:50:50
INT-0000279,2026-07-06,M010-4773031f,291632,JPY,DEBIT,INTERNAL,2026-07-06 07:24:27
INT-0000280,2026-07-06,M019-25480dc3,361712,EUR,DEBIT,INTERNAL,2026-07-06 08:20:49
INT-0000281,2026-07-06,M004-677172a3,348569,USD,DEBIT,INTERNAL,2026-07-06 21:03:47
INT-0000282,2026-07-06,M011-50add127,425462,USD,DEBIT,INTERNAL,2026-07-06 16:48:47
INT-0000283,2026-07-06,M017-4667a20f,79790,EUR,DEBIT,INTERNAL,2026-07-06 12:32:10
INT-0000284,2026-07-06,M003-1bd2b5ff,104853,USD,DEBIT,INTERNAL,2026-07-06 22:45:40
INT-0000285,2026-07-06,M010-5dc93287,391074,USD,DEBIT,INTERNAL,2026-07-06 16:58:19
INT-0000286,2026-07-06,M019-f1ccacc2,294943,JPY,DEBIT,INTERNAL,2026-07-06 08:36:57
INT-0000287,2026-07-06,M011-09f03fdd,416233,JPY,DEBIT,INTERNAL,2026-07-06 11:05:45
INT-0000288,2026-07-06,M015-62bce19a,176355,EUR,DEBIT,INTERNAL,2026-07-06 19:51:27
INT-0000289,2026-07-06,M006-7361c5c8,214118,JPY,DEBIT,INTERNAL,2026-07-06 19:35:39
INT-0000290,2026-07-06,M005-bc9fa65c,88274,GBP,DEBIT,INTERNAL,2026-07-06 08:09:46
INT-0000291,2026-07-06,M001-e8b3c48d,54890,EUR,DEBIT,INTERNAL,2026-07-06 08:57:07
INT-0000292,2026-07-06,M020-9b9c1ffb,233334,GBP,DEBIT,INTERNAL,2026-07-06 09:41:50
INT-0000293,2026-07-06,M001-ce94e1af,459365,USD,DEBIT,INTERNAL,2026-07-06 04:20:04
INT-0000294,2026-07-06,M009-1c58790d,98887,EUR,DEBIT,INTERNAL,2026-07-06 21:23:31
INT-0000295,2026-07-06,M014-cfb8a5f1,422501,USD,DEBIT,INTERNAL,2026-07-06 23:16:52
INT-0000296,2026-07-06,M012-1595919c,105768,EUR,DEBIT,INTERNAL,2026-07-06 18:47:12
INT-0000297,2026-07-06,M012-f6aec38b,143289,EUR,DEBIT,INTERNAL,2026-07-06 11:15:54
INT-0000298,2026-07-06,M013-6ed5a148,140405,JPY,DEBIT,INTERNAL,2026-07-06 04:05:41
INT-0000299,2026-07-06,M016-8cbc938e,395095,JPY,DEBIT,INTERNAL,2026-07-06 02:47:02
INT-0000300,2026-07-06,M002-b8723d39,185916,GBP,DEBIT,INTERNAL,2026-07-06 21:55:24
INT-0000301,2026-07-06,M006-caccfab5,406618,USD,DEBIT,INTERNAL,2026-07-06 14:42:11
INT-0000302,2026-07-06,M005-46a2d207,351463,JPY,DEBIT,INTERNAL,2026-07-06 10:30:46
INT-0000303,2026-07-06,M013-4477391c,301295,EUR,DEBIT,INTERNAL,2026-07-06 09:58:09
INT-0000304,2026-07-06,M005-286793b2,321549,JPY,DEBIT,INTERNAL,2026-07-06 10:00:54
INT-0000305,2026-07-06,M017-60e4e81e,64378,USD,DEBIT,INTERNAL,2026-07-06 11:50:17
INT-0000306,2026-07-06,M020-e3f79aa7,21264,USD,DEBIT,INTERNAL,2026-07-06 19:34:58
INT-0000307,2026-07-06,M007-07508db2,440590,GBP,DEBIT,INTERNAL,2026-07-06 21:01:38
INT-0000308,2026-07-06,M009-ccd71ba8,307166,USD,DEBIT,INTERNAL,2026-07-06 04:05:29
INT-0000309,2026-07-06,M016-e6a63c59,226640,EUR,DEBIT,INTERNAL,2026-07-06 16:31:42
INT-0000310,2026-07-06,M003-6869002b,230460,USD,DEBIT,INTERNAL,2026-07-06 07:11:53
INT-0000311,2026-07-06,M001-5ab9315b,292923,GBP,DEBIT,INTERNAL,2026-07-06 12:56:20
INT-0000312,2026-07-06,M001-a34bff2a,405625,JPY,DEBIT,INTERNAL,2026-07-06 03:43:09
INT-0000313,2026-07-06,M016-8c6b8068,446128,EUR,DEBIT,INTERNAL,2026-07-06 03:57:49
INT-0000314,2026-07-06,M017-5d44036c,406516,JPY,DEBIT,INTERNAL,2026-07-06 13:59:11
INT-0000315,2026-07-06,M002-2aaef607,466602,EUR,DEBIT,INTERNAL,2026-07-06 20:51:22
INT-0000316,2026-07-06,M012-346eee21,462186,JPY,DEBIT,INTERNAL,2026-07-06 03:47:13
INT-0000317,2026-07-06,M006-ff43fc27,342284,JPY,DEBIT,INTERNAL,2026-07-06 08:43:49
INT-0000318,2026-07-06,M008-7173601e,206180,USD,DEBIT,INTERNAL,2026-07-06 20:36:37
INT-0000319,2026-07-06,M002-4e0f3354,138364,JPY,DEBIT,INTERNAL,2026-07-06 01:30:16
INT-0000320,2026-07-06,M006-c0202219,55967,GBP,DEBIT,INTERNAL,2026-07-06 18:33:41
INT-0000321,2026-07-06,M001-e636d32b,13120,EUR,DEBIT,INTERNAL,2026-07-06 06:49:18
INT-0000322,2026-07-06,M003-2b89994f,446003,EUR,DEBIT,INTERNAL,2026-07-06 03:41:32
INT-0000323,2026-07-06,M011-2136ced6,4140,EUR,DEBIT,INTERNAL,2026-07-06 02:52:15
INT-0000324,2026-07-06,M003-04d159e8,439427,USD,DEBIT,INTERNAL,2026-07-06 02:08:40
INT-0000325,2026-07-06,M009-0ac35e5f,444201,GBP,DEBIT,INTERNAL,2026-07-06 12:41:16
INT-0000326,2026-07-06,M011-0d0a7ba0,421830,GBP,DEBIT,INTERNAL,2026-07-06 09:05:34
INT-0000327,2026-07-06,M008-531adab2,417098,GBP,DEBIT,INTERNAL,2026-07-06 02:53:12
INT-0000328,2026-07-06,M015-17d26690,111391,EUR,DEBIT,INTERNAL,2026-07-06 19:19:48
INT-0000329,2026-07-06,M014-e59c7a80,497349,USD,DEBIT,INTERNAL,2026-07-06 06:25:05
INT-0000330,2026-07-06,M009-2c922202,344493,EUR,DEBIT,INTERNAL,2026-07-06 02:31:37
INT-0000331,2026-07-06,M005-8e5389cd,379269,USD,DEBIT,INTERNAL,2026-07-06 17:58:29
INT-0000332,2026-07-06,M006-eaa60c73,382345,JPY,DEBIT,INTERNAL,2026-07-06 03:27:11
INT-0000333,2026-07-06,M012-06225985,146068,GBP,DEBIT,INTERNAL,2026-07-06 22:45:05
INT-0000334,2026-07-06,M002-27129084,133637,JPY,DEBIT,INTERNAL,2026-07-06 23:44:48
INT-0000335,2026-07-06,M012-4b8bb537,284759,GBP,DEBIT,INTERNAL,2026-07-06 06:25:11
INT-0000336,2026-07-06,M006-0767cb7f,399376,GBP,DEBIT,INTERNAL,2026-07-06 13:51:48
INT-0000337,2026-07-06,M001-b790fef3,52722,USD,DEBIT,INTERNAL,2026-07-06 13:44:28
INT-0000338,2026-07-06,M003-f57de136,62244,JPY,DEBIT,INTERNAL,2026-07-06 17:39:24
INT-0000339,2026-07-06,M012-a127f6c3,246478,JPY,DEBIT,INTERNAL,2026-07-06 08:42:16
INT-0000340,2026-07-06,M014-5a632f8e,126191,USD,DEBIT,INTERNAL,2026-07-06 18:59:19
INT-0000341,2026-07-06,M015-a368b23f,39525,EUR,DEBIT,INTERNAL,2026-07-06 16:29:37
INT-0000342,2026-07-06,M006-0f17f4b4,329515,USD,DEBIT,INTERNAL,2026-07-06 23:46:26
INT-0000343,2026-07-06,M011-570e2e61,449980,USD,DEBIT,INTERNAL,2026-07-06 13:23:18
INT-0000344,2026-07-06,M005-62c050bf,160116,EUR,DEBIT,INTERNAL,2026-07-06 11:25:59
INT-0000345,2026-07-06,M016-666f69e8,268753,GBP,DEBIT,INTERNAL,2026-07-06 17:55:00
INT-0000346,2026-07-06,M011-ad0b5704,213874,USD,DEBIT,INTERNAL,2026-07-06 06:27:46
INT-0000347,2026-07-06,M009-c48738d4,249570,JPY,DEBIT,INTERNAL,2026-07-06 20:27:25
INT-0000348,2026-07-06,M017-157d52ed,305327,EUR,DEBIT,INTERNAL,2026-07-06 11:41:42
INT-0000349,2026-07-06,M019-8d31d309,451503,EUR,DEBIT,INTERNAL,2026-07-06 05:29:20
INT-0000350,2026-07-06,M006-c93e7fb6,220746,EUR,DEBIT,INTERNAL,2026-07-06 02:40:13
INT-0000351,2026-07-06,M019-587db821,299509,GBP,DEBIT,INTERNAL,2026-07-06 13:54:28
INT-0000352,2026-07-06,M016-0efa5ea7,352878,EUR,DEBIT,INTERNAL,2026-07-06 11:56:46
INT-0000353,2026-07-06,M003-c47bbcfb,284948,EUR,DEBIT,INTERNAL,2026-07-06 14:53:43
INT-0000354,2026-07-06,M008-314cd2fe,461304,EUR,DEBIT,INTERNAL,2026-07-06 09:41:08
INT-0000355,2026-07-06,M019-a5f05cb3,181433,GBP,DEBIT,INTERNAL,2026-07-06 15:55:07
INT-0000356,2026-07-06,M010-6b9852e1,333206,EUR,DEBIT,INTERNAL,2026-07-06 09:03:00
INT-0000357,2026-07-06,M001-80205270,380934,JPY,DEBIT,INTERNAL,2026-07-06 20:24:46
INT-0000358,2026-07-06,M006-0032264f,472680,GBP,DEBIT,INTERNAL,2026-07-06 08:36:20
INT-0000359,2026-07-06,M017-df8a1285,168355,GBP,DEBIT,INTERNAL,2026-07-06 10:37:22
INT-0000360,2026-07-06,M003-4aaf4614,365733,USD,DEBIT,INTERNAL,2026-07-06 09:34:25
INT-0000361,2026-07-06,M014-792f3246,155240,JPY,DEBIT,INTERNAL,2026-07-06 00:36:19
INT-0000362,2026-07-06,M015-2fd40663,415353,JPY,DEBIT,INTERNAL,2026-07-06 08:25:09
INT-0000363,2026-07-06,M015-da107079,394157,EUR,DEBIT,INTERNAL,2026-07-06 09:24:46
INT-0000364,2026-07-06,M015-6984517e,473315,EUR,DEBIT,INTERNAL,2026-07-06 06:41:49
INT-0000365,2026-07-06,M010-91a291a7,165889,JPY,DEBIT,INTERNAL,2026-07-06 19:02:18
INT-0000366,2026-07-06,M008-a3bf9232,16347,JPY,DEBIT,INTERNAL,2026-07-06 07:11:53
INT-0000367,2026-07-06,M014-7eafdbea,35475,JPY,DEBIT,INTERNAL,2026-07-06 09:11:48
INT-0000368,2026-07-06,M004-84142e19,46564,JPY,DEBIT,INTERNAL,2026-07-06 23:11:07
INT-0000369,2026-07-06,M011-4c311943,273027,JPY,DEBIT,INTERNAL,2026-07-06 03:07:12
INT-0000370,2026-07-06,M011-d575cdab,429647,EUR,DEBIT,INTERNAL,2026-07-06 19:21:51
INT-0000371,2026-07-06,M008-28cf759e,289870,JPY,DEBIT,INTERNAL,2026-07-06 04:15:32
INT-0000372,2026-07-06,M007-f3a708f4,393190,EUR,DEBIT,INTERNAL,2026-07-06 07:03:03
INT-0000373,2026-07-06,M020-a6d107b0,164834,GBP,DEBIT,INTERNAL,2026-07-06 06:17:30
INT-0000374,2026-07-06,M009-a7a8b9bb,472044,USD,DEBIT,INTERNAL,2026-07-06 01:21:58
INT-0000375,2026-07-06,M010-0d715498,494776,USD,DEBIT,INTERNAL,2026-07-06 08:16:12
INT-0000376,2026-07-06,M011-47a1b5a4,229610,JPY,DEBIT,INTERNAL,2026-07-06 11:10:53
INT-0000377,2026-07-06,M018-eafe6ab7,416570,USD,DEBIT,INTERNAL,2026-07-06 19:56:37
INT-0000378,2026-07-06,M004-07b22f16,465342,GBP,DEBIT,INTERNAL,2026-07-06 00:56:46
INT-0000379,2026-07-06,M013-c9fab9b3,421188,GBP,DEBIT,INTERNAL,2026-07-06 17:21:15
INT-0000380,2026-07-06,M017-d0766bb3,254268,USD,DEBIT,INTERNAL,2026-07-06 16:14:35
INT-0000381,2026-07-06,M019-d04d259b,242475,USD,DEBIT,INTERNAL,2026-07-06 21:30:46
INT-0000382,2026-07-06,M008-5c2d6a9a,463503,GBP,DEBIT,INTERNAL,2026-07-06 15:46:55
INT-0000383,2026-07-06,M006-04c5503b,287216,JPY,DEBIT,INTERNAL,2026-07-06 18:12:56
INT-0000384,2026-07-06,M002-6e4644e0,265218,EUR,DEBIT,INTERNAL,2026-07-06 00:51:10
INT-0000385,2026-07-06,M020-7d6e120a,317250,GBP,DEBIT,INTERNAL,2026-07-06 10:02:57
INT-0000386,2026-07-06,M006-757563e6,282863,EUR,DEBIT,INTERNAL,2026-07-06 09:18:24
INT-0000387,2026-07-06,M014-e22d4ae5,256562,USD,DEBIT,INTERNAL,2026-07-06 00:03:47
INT-0000388,2026-07-06,M018-675dbd99,214543,GBP,DEBIT,INTERNAL,2026-07-06 08:55:28
INT-0000389,2026-07-06,M007-6a395dfe,45056,JPY,DEBIT,INTERNAL,2026-07-06 05:11:24
INT-0000390,2026-07-06,M019-f6f4572b,248523,JPY,DEBIT,INTERNAL,2026-07-06 10:05:18
INT-0000391,2026-07-06,M003-dabc4e01,53159,JPY,DEBIT,INTERNAL,2026-07-06 12:53:31
INT-0000392,2026-07-06,M016-cd9504bc,267312,GBP,DEBIT,INTERNAL,2026-07-06 22:56:09
INT-0000393,2026-07-06,M019-c59340af,178788,EUR,DEBIT,INTERNAL,2026-07-06 05:41:40
INT-0000394,2026-07-06,M009-baf3a8c8,273899,GBP,DEBIT,INTERNAL,2026-07-06 00:43:19
INT-0000395,2026-07-06,M012-9f5c0266,145108,USD,DEBIT,INTERNAL,2026-07-06 12:06:04
INT-0000396,2026-07-06,M005-71d83342,163618,EUR,DEBIT,INTERNAL,2026-07-06 08:18:02
INT-0000397,2026-07-06,M005-1fcd2549,439605,JPY,DEBIT,INTERNAL,2026-07-06 07:01:28
INT-0000398,2026-07-06,M004-53e5356b,11926,USD,DEBIT,INTERNAL,2026-07-06 11:56:06
INT-0000399,2026-07-06,M007-acd8e7f0,63880,GBP,DEBIT,INTERNAL,2026-07-06 15:49:05
INT-0000400,2026-07-06,M006-b1e1e0ee,94818,EUR,DEBIT,INTERNAL,2026-07-06 05:32:34
INT-0000401,2026-07-06,M020-414f5c50,346630,GBP,DEBIT,INTERNAL,2026-07-06 14:24:55
INT-0000402,2026-07-06,M017-d6cdaf5a,443243,USD,DEBIT,INTERNAL,2026-07-06 13:10:42
INT-0000403,2026-07-06,M007-0aa8a5f8,474341,GBP,DEBIT,INTERNAL,2026-07-06 07:40:50
INT-0000404,2026-07-06,M003-4d2d9d02,488198,JPY,DEBIT,INTERNAL,2026-07-06 01:41:25
INT-0000405,2026-07-06,M005-3de82eb3,197866,USD,DEBIT,INTERNAL,2026-07-06 10:04:19
INT-0000406,2026-07-06,M003-6d8eacf3,146199,GBP,DEBIT,INTERNAL,2026-07-06 13:29:23
INT-0000407,2026-07-06,M002-c781ef02,184851,EUR,DEBIT,INTERNAL,2026-07-06 23:11:14
INT-0000408,2026-07-06,M007-29a54358,315457,JPY,DEBIT,INTERNAL,2026-07-06 17:04:36
INT-0000409,2026-07-06,M006-8817592c,248956,EUR,DEBIT,INTERNAL,2026-07-06 08:08:58
INT-0000410,2026-07-06,M015-fa1c7ef6,52055,EUR,DEBIT,INTERNAL,2026-07-06 15:09:28
INT-0000411,2026-07-06,M006-c54fff8b,291016,USD,DEBIT,INTERNAL,2026-07-06 11:35:14
INT-0000412,2026-07-06,M019-3bc34f9a,85501,GBP,DEBIT,INTERNAL,2026-07-06 12:28:52
INT-0000413,2026-07-06,M018-a6e39ebb,165050,EUR,DEBIT,INTERNAL,2026-07-06 01:02:37
INT-0000414,2026-07-06,M007-69972d06,189424,EUR,DEBIT,INTERNAL,2026-07-06 06:51:25
INT-0000415,2026-07-06,M007-3936081d,395397,USD,DEBIT,INTERNAL,2026-07-06 08:38:17
INT-0000416,2026-07-06,M011-b5065736,270599,USD,DEBIT,INTERNAL,2026-07-06 15:08:12
INT-0000417,2026-07-06,M009-c02d384d,354301,GBP,DEBIT,INTERNAL,2026-07-06 13:59:11
INT-0000418,2026-07-06,M001-c5bb4bb8,29046,USD,DEBIT,INTERNAL,2026-07-06 15:33:59
INT-0000419,2026-07-06,M006-33593fde,80017,EUR,DEBIT,INTERNAL,2026-07-06 05:26:17
INT-0000420,2026-07-06,M001-4707b72f,124325,USD,DEBIT,INTERNAL,2026-07-06 15:23:19
INT-0000421,2026-07-06,M014-71e71562,250254,GBP,DEBIT,INTERNAL,2026-07-06 01:30:48
INT-0000422,2026-07-06,M011-2d92e745,178138,USD,DEBIT,INTERNAL,2026-07-06 23:37:23
INT-0000423,2026-07-06,M011-d51f3519,370754,USD,DEBIT,INTERNAL,2026-07-06 18:41:51
INT-0000424,2026-07-06,M011-6c576d8e,54218,USD,DEBIT,INTERNAL,2026-07-06 18:57:57
INT-0000425,2026-07-06,M001-36d29ba7,347506,EUR,DEBIT,INTERNAL,2026-07-06 14:30:15
INT-0000426,2026-07-06,M011-dd242216,20371,EUR,DEBIT,INTERNAL,2026-07-06 14:35:27
INT-0000427,2026-07-06,M004-863fe92f,263850,JPY,DEBIT,INTERNAL,2026-07-06 17:47:01
INT-0000428,2026-07-06,M003-05123a71,229786,JPY,DEBIT,INTERNAL,2026-07-06 04:37:33
INT-0000429,2026-07-06,M009-d85ee504,89915,GBP,DEBIT,INTERNAL,2026-07-06 13:21:06
INT-0000430,2026-07-06,M008-33c27041,346021,EUR,DEBIT,INTERNAL,2026-07-06 09:29:27
INT-0000431,2026-07-06,M003-e696fa4b,309915,GBP,DEBIT,INTERNAL,2026-07-06 11:35:21
INT-0000432,2026-07-06,M018-40dd5198,325311,EUR,DEBIT,INTERNAL,2026-07-06 10:06:01
INT-0000433,2026-07-06,M015-7c99c18f,271763,GBP,DEBIT,INTERNAL,2026-07-06 17:20:36
INT-0000434,2026-07-06,M007-9eb2b67d,452511,JPY,DEBIT,INTERNAL,2026-07-06 13:01:56
INT-0000435,2026-07-06,M009-81abd1d9,364093,GBP,DEBIT,INTERNAL,2026-07-06 00:36:36
INT-0000436,2026-07-06,M008-35f3b68f,177140,GBP,DEBIT,INTERNAL,2026-07-06 17:11:36
INT-0000437,2026-07-06,M014-4a455b81,151795,JPY,DEBIT,INTERNAL,2026-07-06 15:20:11
INT-0000438,2026-07-06,M008-1dd64b33,19741,GBP,DEBIT,INTERNAL,2026-07-06 06:18:03
INT-0000439,2026-07-06,M015-0cc5c0b3,312595,JPY,DEBIT,INTERNAL,2026-07-06 09:17:39
INT-0000440,2026-07-06,M011-66079367,356795,EUR,DEBIT,INTERNAL,2026-07-06 01:16:36
INT-0000441,2026-07-06,M019-a2e376e9,64087,GBP,DEBIT,INTERNAL,2026-07-06 01:19:30
INT-0000442,2026-07-06,M012-3ac7d7a7,473567,USD,DEBIT,INTERNAL,2026-07-06 08:18:36
INT-0000443,2026-07-06,M002-fe01ce75,141628,GBP,DEBIT,INTERNAL,2026-07-06 17:05:23
INT-0000444,2026-07-06,M016-8e29e602,84283,JPY,DEBIT,INTERNAL,2026-07-06 03:48:30
INT-0000445,2026-07-06,M006-de9bb53f,3019,GBP,DEBIT,INTERNAL,2026-07-06 15:45:00
INT-0000446,2026-07-06,M010-ba892b3b,116093,EUR,DEBIT,INTERNAL,2026-07-06 14:06:35
INT-0000447,2026-07-06,M018-3a5d0b7c,72618,GBP,DEBIT,INTERNAL,2026-07-06 11:57:28
INT-0000448,2026-07-06,M012-5e5b10c7,135959,JPY,DEBIT,INTERNAL,2026-07-06 08:28:23
INT-0000449,2026-07-06,M011-ff652558,354760,JPY,DEBIT,INTERNAL,2026-07-06 01:32:08
INT-0000450,2026-07-06,M017-5a94f348,368622,EUR,DEBIT,INTERNAL,2026-07-06 22:19:13
INT-0000451,2026-07-06,M007-a4bfe513,352753,EUR,DEBIT,INTERNAL,2026-07-06 16:06:42
INT-0000452,2026-07-06,M019-5007e2e7,140785,EUR,DEBIT,INTERNAL,2026-07-06 02:33:22
INT-0000453,2026-07-06,M007-a04ab220,471605,GBP,DEBIT,INTERNAL,2026-07-06 23:05:40
INT-0000454,2026-07-06,M004-8926e801,84219,USD,DEBIT,INTERNAL,2026-07-06 10:39:09
INT-0000455,2026-07-06,M008-f4cece67,48465,GBP,DEBIT,INTERNAL,2026-07-06 20:06:13
INT-0000456,2026-07-06,M017-c1736ebe,70337,EUR,DEBIT,INTERNAL,2026-07-06 11:07:37
INT-0000457,2026-07-06,M017-bc65bfc5,14430,JPY,DEBIT,INTERNAL,2026-07-06 22:43:33
INT-0000458,2026-07-06,M005-f667b388,482081,JPY,DEBIT,INTERNAL,2026-07-06 06:43:11
INT-0000459,2026-07-06,M004-6ad09844,148296,JPY,DEBIT,INTERNAL,2026-07-06 13:43:18
INT-0000460,2026-07-06,M006-dedd634d,352941,GBP,DEBIT,INTERNAL,2026-07-06 03:28:55
INT-0000461,2026-07-06,M005-dc843565,116467,GBP,DEBIT,INTERNAL,2026-07-06 23:27:41
INT-0000462,2026-07-06,M018-f306e13d,231014,EUR,DEBIT,INTERNAL,2026-07-06 23:30:45
INT-0000463,2026-07-06,M010-5bb3f259,493069,EUR,DEBIT,INTERNAL,2026-07-06 20:51:22
INT-0000464,2026-07-06,M018-16762882,31909,USD,DEBIT,INTERNAL,2026-07-06 20:50:44
INT-0000465,2026-07-06,M006-e7b7d370,595,GBP,DEBIT,INTERNAL,2026-07-06 10:55:37
INT-0000466,2026-07-06,M004-076b1acd,366013,JPY,DEBIT,INTERNAL,2026-07-06 17:51:05
INT-0000467,2026-07-06,M018-d2edf85d,117822,JPY,DEBIT,INTERNAL,2026-07-06 11:22:36
INT-0000468,2026-07-06,M014-6e732bd0,347009,EUR,DEBIT,INTERNAL,2026-07-06 01:47:16
INT-0000469,2026-07-06,M007-9d64c090,429284,JPY,DEBIT,INTERNAL,2026-07-06 04:46:06
INT-0000470,2026-07-06,M011-41291995,177039,EUR,DEBIT,INTERNAL,2026-07-06 02:28:18
INT-0000471,2026-07-06,M003-5cd33e9f,13689,GBP,DEBIT,INTERNAL,2026-07-06 13:25:26
INT-0000472,2026-07-06,M013-c6afcc83,228733,USD,DEBIT,INTERNAL,2026-07-06 08:18:11
INT-0000473,2026-07-06,M015-4ec8b45d,458695,GBP,DEBIT,INTERNAL,2026-07-06 07:23:31
INT-0000474,2026-07-06,M009-0d21e9e2,64882,EUR,DEBIT,INTERNAL,2026-07-06 20:25:11
INT-0000475,2026-07-06,M013-cb4f2004,265855,GBP,DEBIT,INTERNAL,2026-07-06 00:42:14
INT-0000476,2026-07-06,M003-249de87a,290304,USD,DEBIT,INTERNAL,2026-07-06 07:04:50
INT-0000477,2026-07-06,M002-d9133d26,285258,USD,DEBIT,INTERNAL,2026-07-06 23:53:47
INT-0000478,2026-07-06,M009-d09ea982,152230,JPY,DEBIT,INTERNAL,2026-07-06 06:47:44
INT-0000479,2026-07-06,M011-a99b7d87,193828,EUR,DEBIT,INTERNAL,2026-07-06 04:11:04
INT-0000480,2026-07-06,M015-6440285b,496546,GBP,DEBIT,INTERNAL,2026-07-06 22:16:44
INT-0000481,2026-07-06,M020-53935fd1,209797,EUR,DEBIT,INTERNAL,2026-07-06 16:50:27
INT-0000482,2026-07-06,M013-6b9ccc6c,359719,JPY,DEBIT,INTERNAL,2026-07-06 15:28:03
INT-0000483,2026-07-06,M017-12725b8e,292106,GBP,DEBIT,INTERNAL,2026-07-06 16:57:04
INT-0000484,2026-07-06,M010-55246fa3,419346,GBP,DEBIT,INTERNAL,2026-07-06 06:41:50
INT-0000485,2026-07-06,M005-99286c0d,445046,EUR,DEBIT,INTERNAL,2026-07-06 11:58:54
INT-0000486,2026-07-06,M015-c037c870,231487,USD,DEBIT,INTERNAL,2026-07-06 22:59:08
INT-0000487,2026-07-06,M015-27e961b1,305636,JPY,DEBIT,INTERNAL,2026-07-06 18:21:05
INT-0000488,2026-07-06,M004-f4c4e8bc,330103,USD,DEBIT,INTERNAL,2026-07-06 21:21:31
INT-0000489,2026-07-06,M003-69a1b31a,314646,GBP,DEBIT,INTERNAL,2026-07-06 15:47:27
INT-0000490,2026-07-06,M009-eeeea353,491926,GBP,DEBIT,INTERNAL,2026-07-06 15:39:28
INT-0000491,2026-07-06,M005-fa6aef15,71667,EUR,DEBIT,INTERNAL,2026-07-06 07:36:45
INT-0000492,2026-07-06,M002-2e00fd2d,234344,EUR,DEBIT,INTERNAL,2026-07-06 02:46:02
INT-0000493,2026-07-06,M005-7a9fdc10,307883,USD,DEBIT,INTERNAL,2026-07-06 14:57:34
INT-0000494,2026-07-06,M020-a0031dff,106703,JPY,DEBIT,INTERNAL,2026-07-06 08:03:54
INT-0000495,2026-07-06,M004-0c8d2fc3,304800,JPY,DEBIT,INTERNAL,2026-07-06 11:29:27
