txn_uid,business_date,txn_ref,net_amount_minor,currency,side,source_system,event_ts
BNK-0000259,2026-07-06,M019-a22eccdf,33466,GBP,CREDIT,BANK,2026-07-06 21:43:35
BNK-0000260,2026-07-06,M001-eeddf52e,310985,USD,CREDIT,BANK,2026-07-06 03:27:58
BNK-0000261,2026-07-07,M005-6c19ace3,351672,USD,CREDIT,BANK,2026-07-07 08:47:49
BNK-0000262,2026-07-06,M019-26e16af1,53523,USD,CREDIT,BANK,2026-07-06 10:24:59
BNK-0000263,2026-07-08,M014-4aa60588,213558,EUR,CREDIT,BANK,2026-07-08 05:16:17
BNK-0000264,2026-07-06,M009-d1997cd8,291593,GBP,CREDIT,BANK,2026-07-06 11:56:52
BNK-0000265,2026-07-06,M005-bef4ba6e,108993,USD,CREDIT,BANK,2026-07-06 18:40:41
BNK-0000266,2026-07-06,M018-02da187e,382542,USD,CREDIT,BANK,2026-07-06 01:22:45
BNK-0000267,2026-07-06,M007-6615d314,212963,JPY,CREDIT,BANK,2026-07-06 20:14:39
BNK-0000268,2026-07-06,M003-5f796546,94558,JPY,CREDIT,BANK,2026-07-06 11:51:23
BNK-0000269,2026-07-06,M015-1d78ed41,105910,USD,CREDIT,BANK,2026-07-06 04:29:54
BNK-0000270,2026-07-06,M005-97a498a6,84161,USD,CREDIT,BANK,2026-07-06 13:45:46
BNK-0000271,2026-07-06,M008-c49726e4,17371,JPY,CREDIT,BANK,2026-07-06 03:20:02
BNK-0000272,2026-07-06,M014-31b3629f,356192,GBP,CREDIT,BANK,2026-07-06 06:00:21
BNK-0000273,2026-07-06,M016-89264f87,105324,USD,CREDIT,BANK,2026-07-06 22:59:42
BNK-0000274,2026-07-06,M010-30b64915,304345,USD,CREDIT,BANK,2026-07-06 02:56:59
BNK-0000275,2026-07-06,M015-b5392e33,129806,JPY,CREDIT,BANK,2026-07-06 08:28:49
BNK-0000276,2026-07-06,M020-113d4db2,242004,JPY,CREDIT,BANK,2026-07-06 19:28:18
BNK-0000277,2026-07-06,M006-a0f94833,89220,GBP,CREDIT,BANK,2026-07-06 10:54:08
BNK-0000278,2026-07-06,M004-3ae7518b,260314,EUR,CREDIT,BANK,2026-07-06 05:35:45
BNK-0000279,2026-07-06,M010-4773031f,291232,JPY,CREDIT,BANK,2026-07-06 13:09:26
BNK-0000280,2026-07-06,M019-25480dc3,361412,EUR,CREDIT,BANK,2026-07-06 12:15:47
BNK-0000281,2026-07-06,M004-677172a3,348269,USD,CREDIT,BANK,2026-07-06 18:37:47
BNK-0000282,2026-07-06,M011-50add127,425162,USD,CREDIT,BANK,2026-07-06 19:30:42
BNK-0000283,2026-07-06,M017-4667a20f,79490,EUR,CREDIT,BANK,2026-07-06 23:32:36
BNK-0000284,2026-07-06,M003-1bd2b5ff,104553,USD,CREDIT,BANK,2026-07-06 12:06:28
BNK-0000285,2026-07-06,M010-5dc93287,390774,USD,CREDIT,BANK,2026-07-06 19:28:58
BNK-0000286,2026-07-06,M019-f1ccacc2,294543,JPY,CREDIT,BANK,2026-07-06 17:04:31
BNK-0000287,2026-07-06,M011-09f03fdd,415833,JPY,CREDIT,BANK,2026-07-06 02:41:51
BNK-0000288,2026-07-08,M015-62bce19a,176055,EUR,CREDIT,BANK,2026-07-08 19:56:25
BNK-0000289,2026-07-06,M006-7361c5c8,213718,JPY,CREDIT,BANK,2026-07-06 15:19:57
BNK-0000290,2026-07-06,M005-bc9fa65c,88024,GBP,CREDIT,BANK,2026-07-06 16:11:11
BNK-0000291,2026-07-06,M001-e8b3c48d,54590,EUR,CREDIT,BANK,2026-07-06 09:17:13
BNK-0000292,2026-07-06,M020-9b9c1ffb,233084,GBP,CREDIT,BANK,2026-07-06 11:06:38
BNK-0000293,2026-07-06,M001-ce94e1af,459065,USD,CREDIT,BANK,2026-07-06 15:07:37
BNK-0000294,2026-07-06,M009-1c58790d,98587,EUR,CREDIT,BANK,2026-07-06 02:42:30
BNK-0000295,2026-07-06,M014-cfb8a5f1,422201,USD,CREDIT,BANK,2026-07-06 13:20:25
BNK-0000296,2026-07-06,M012-1595919c,105468,EUR,CREDIT,BANK,2026-07-06 08:06:24
BNK-0000297,2026-07-06,M012-f6aec38b,142989,EUR,CREDIT,BANK,2026-07-06 18:11:58
BNK-0000298,2026-07-06,M013-6ed5a148,140005,JPY,CREDIT,BANK,2026-07-06 22:51:54
BNK-0000299,2026-07-06,M016-8cbc938e,394695,JPY,CREDIT,BANK,2026-07-06 03:10:51
BNK-0000300,2026-07-06,M002-b8723d39,185666,GBP,CREDIT,BANK,2026-07-06 20:21:35
BNK-0000301,2026-07-06,M006-caccfab5,406318,USD,CREDIT,BANK,2026-07-06 13:44:10
BNK-0000302,2026-07-06,M005-46a2d207,351063,JPY,CREDIT,BANK,2026-07-06 10:52:34
BNK-0000303,2026-07-06,M013-4477391c,300995,EUR,CREDIT,BANK,2026-07-06 18:36:09
BNK-0000304,2026-07-06,M005-286793b2,321149,JPY,CREDIT,BANK,2026-07-06 02:00:43
BNK-0000305,2026-07-06,M017-60e4e81e,64078,USD,CREDIT,BANK,2026-07-06 18:01:37
BNK-0000306,2026-07-06,M020-e3f79aa7,20964,USD,CREDIT,BANK,2026-07-06 17:33:23
BNK-0000307,2026-07-06,M007-07508db2,440340,GBP,CREDIT,BANK,2026-07-06 04:12:40
BNK-0000308,2026-07-06,M009-ccd71ba8,306866,USD,CREDIT,BANK,2026-07-06 12:00:36
BNK-0000309,2026-07-06,M016-e6a63c59,226340,EUR,CREDIT,BANK,2026-07-06 15:30:52
BNK-0000310,2026-07-06,M003-6869002b,230160,USD,CREDIT,BANK,2026-07-06 19:35:43
BNK-0000311,2026-07-06,M001-5ab9315b,292673,GBP,CREDIT,BANK,2026-07-06 20:28:12
BNK-0000312,2026-07-06,M001-a34bff2a,405225,JPY,CREDIT,BANK,2026-07-06 22:41:20
BNK-0000313,2026-07-06,M016-8c6b8068,445828,EUR,CREDIT,BANK,2026-07-06 18:55:30
BNK-0000314,2026-07-06,M017-5d44036c,406116,JPY,CREDIT,BANK,2026-07-06 11:33:28
BNK-0000315,2026-07-06,M002-2aaef607,466302,EUR,CREDIT,BANK,2026-07-06 16:05:36
BNK-0000316,2026-07-06,M012-346eee21,461786,JPY,CREDIT,BANK,2026-07-06 11:22:29
BNK-0000317,2026-07-06,M006-ff43fc27,341884,JPY,CREDIT,BANK,2026-07-06 19:11:56
BNK-0000318,2026-07-06,M008-7173601e,205880,USD,CREDIT,BANK,2026-07-06 20:47:52
BNK-0000319,2026-07-06,M002-4e0f3354,137964,JPY,CREDIT,BANK,2026-07-06 01:12:27
BNK-0000320,2026-07-06,M006-c0202219,55717,GBP,CREDIT,BANK,2026-07-06 01:45:46
BNK-0000321,2026-07-06,M001-e636d32b,12820,EUR,CREDIT,BANK,2026-07-06 05:25:06
BNK-0000322,2026-07-06,M003-2b89994f,445703,EUR,CREDIT,BANK,2026-07-06 20:01:44
BNK-0000323,2026-07-06,M011-2136ced6,4020,EUR,CREDIT,BANK,2026-07-06 11:42:21
BNK-0000324,2026-07-06,M003-04d159e8,439127,USD,CREDIT,BANK,2026-07-06 07:49:04
BNK-0000325,2026-07-06,M009-0ac35e5f,443951,GBP,CREDIT,BANK,2026-07-06 04:37:14
BNK-0000326,2026-07-06,M011-0d0a7ba0,421580,GBP,CREDIT,BANK,2026-07-06 21:09:30
BNK-0000327,2026-07-06,M008-531adab2,416848,GBP,CREDIT,BANK,2026-07-06 06:23:55
BNK-0000328,2026-07-06,M015-17d26690,111091,EUR,CREDIT,BANK,2026-07-06 00:06:25
BNK-0000329,2026-07-07,M014-e59c7a80,497049,USD,CREDIT,BANK,2026-07-07 05:34:22
BNK-0000330,2026-07-06,M009-2c922202,344193,EUR,CREDIT,BANK,2026-07-06 08:06:32
BNK-0000331,2026-07-06,M005-8e5389cd,378969,USD,CREDIT,BANK,2026-07-06 07:03:51
BNK-0000332,2026-07-06,M006-eaa60c73,381945,JPY,CREDIT,BANK,2026-07-06 20:06:52
BNK-0000333,2026-07-06,M012-06225985,145818,GBP,CREDIT,BANK,2026-07-06 11:35:45
BNK-0000334,2026-07-06,M002-27129084,133237,JPY,CREDIT,BANK,2026-07-06 17:39:49
BNK-0000335,2026-07-06,M012-4b8bb537,284509,GBP,CREDIT,BANK,2026-07-06 01:21:45
BNK-0000336,2026-07-06,M006-0767cb7f,399126,GBP,CREDIT,BANK,2026-07-06 12:13:14
BNK-0000337,2026-07-08,M001-b790fef3,52422,USD,CREDIT,BANK,2026-07-08 05:52:30
BNK-0000339,2026-07-06,M012-a127f6c3,246078,JPY,CREDIT,BANK,2026-07-06 04:20:59
BNK-0000340,2026-07-06,M014-5a632f8e,125891,USD,CREDIT,BANK,2026-07-06 09:44:15
BNK-0000341,2026-07-06,M015-a368b23f,39225,EUR,CREDIT,BANK,2026-07-06 02:07:11
BNK-0000342,2026-07-06,M006-0f17f4b4,329215,USD,CREDIT,BANK,2026-07-06 09:37:14
BNK-0000343,2026-07-06,M011-570e2e61,449680,USD,CREDIT,BANK,2026-07-06 18:09:06
BNK-0000344,2026-07-06,M005-62c050bf,159816,EUR,CREDIT,BANK,2026-07-06 18:10:32
BNK-0000345,2026-07-06,M016-666f69e8,268503,GBP,CREDIT,BANK,2026-07-06 02:14:36
BNK-0000346,2026-07-06,M011-ad0b5704,213574,USD,CREDIT,BANK,2026-07-06 15:32:16
BNK-0000347,2026-07-06,M009-c48738d4,249170,JPY,CREDIT,BANK,2026-07-06 18:02:21
BNK-0000348,2026-07-06,M017-157d52ed,305027,EUR,CREDIT,BANK,2026-07-06 21:10:28
BNK-0000349,2026-07-06,M019-8d31d309,451203,EUR,CREDIT,BANK,2026-07-06 12:15:52
BNK-0000350,2026-07-06,M006-c93e7fb6,220446,EUR,CREDIT,BANK,2026-07-06 15:45:43
BNK-0000351,2026-07-06,M019-587db821,299259,GBP,CREDIT,BANK,2026-07-06 02:20:32
BNK-0000352,2026-07-06,M016-0efa5ea7,352578,EUR,CREDIT,BANK,2026-07-06 00:37:09
BNK-0000353,2026-07-06,M003-c47bbcfb,284648,EUR,CREDIT,BANK,2026-07-06 23:54:33
BNK-0000354,2026-07-06,M008-314cd2fe,461004,EUR,CREDIT,BANK,2026-07-06 01:42:13
BNK-0000355,2026-07-06,M019-a5f05cb3,181183,GBP,CREDIT,BANK,2026-07-06 23:54:40
BNK-0000356,2026-07-06,M010-6b9852e1,332906,EUR,CREDIT,BANK,2026-07-06 18:23:15
BNK-0000357,2026-07-06,M001-80205270,380534,JPY,CREDIT,BANK,2026-07-06 07:21:10
BNK-0000358,2026-07-06,M006-0032264f,472430,GBP,CREDIT,BANK,2026-07-06 23:05:27
BNK-0000359,2026-07-06,M017-df8a1285,168105,GBP,CREDIT,BANK,2026-07-06 05:37:40
BNK-0000360,2026-07-06,M003-4aaf4614,365433,USD,CREDIT,BANK,2026-07-06 07:29:24
BNK-0000361,2026-07-06,M014-792f3246,154840,JPY,CREDIT,BANK,2026-07-06 08:56:37
BNK-0000362,2026-07-06,M015-2fd40663,414953,JPY,CREDIT,BANK,2026-07-06 16:48:50
BNK-0000363,2026-07-06,M015-da107079,393857,EUR,CREDIT,BANK,2026-07-06 01:55:02
BNK-0000364,2026-07-06,M015-6984517e,473015,EUR,CREDIT,BANK,2026-07-06 15:24:11
BNK-0000365,2026-07-06,M010-91a291a7,165489,JPY,CREDIT,BANK,2026-07-06 22:54:24
BNK-0000366,2026-07-06,M008-a3bf9232,15947,JPY,CREDIT,BANK,2026-07-06 06:30:28
BNK-0000367,2026-07-06,M014-7eafdbea,35075,JPY,CREDIT,BANK,2026-07-06 21:00:14
BNK-0000368,2026-07-06,M004-84142e19,46164,JPY,CREDIT,BANK,2026-07-06 14:25:35
BNK-0000369,2026-07-06,M011-4c311943,272627,JPY,CREDIT,BANK,2026-07-06 12:41:29
BNK-0000370,2026-07-06,M011-d575cdab,429347,EUR,CREDIT,BANK,2026-07-06 02:18:25
BNK-0000371,2026-07-06,M008-28cf759e,289470,JPY,CREDIT,BANK,2026-07-06 20:01:01
BNK-0000372,2026-07-06,M007-f3a708f4,392890,EUR,CREDIT,BANK,2026-07-06 11:36:27
BNK-0000373,2026-07-06,M020-a6d107b0,164584,GBP,CREDIT,BANK,2026-07-06 11:42:57
BNK-0000374,2026-07-06,M009-a7a8b9bb,471744,USD,CREDIT,BANK,2026-07-06 19:43:39
BNK-0000375,2026-07-06,M010-0d715498,494476,USD,CREDIT,BANK,2026-07-06 14:32:43
BNK-0000376,2026-07-06,M011-47a1b5a4,229210,JPY,CREDIT,BANK,2026-07-06 18:43:22
BNK-0000378,2026-07-06,M004-07b22f16,465092,GBP,CREDIT,BANK,2026-07-06 06:23:45
BNK-0000379,2026-07-06,M013-c9fab9b3,420938,GBP,CREDIT,BANK,2026-07-06 05:14:56
BNK-0000380,2026-07-06,M017-d0766bb3,253968,USD,CREDIT,BANK,2026-07-06 03:46:56
BNK-0000381,2026-07-07,M019-d04d259b,242175,USD,CREDIT,BANK,2026-07-07 13:45:30
BNK-0000382,2026-07-06,M008-5c2d6a9a,463253,GBP,CREDIT,BANK,2026-07-06 07:14:26
BNK-0000383,2026-07-06,M006-04c5503b,286816,JPY,CREDIT,BANK,2026-07-06 04:28:02
BNK-0000384,2026-07-06,M002-6e4644e0,264918,EUR,CREDIT,BANK,2026-07-06 12:41:03
BNK-0000385,2026-07-06,M020-7d6e120a,317000,GBP,CREDIT,BANK,2026-07-06 00:32:28
BNK-0000386,2026-07-06,M006-757563e6,282563,EUR,CREDIT,BANK,2026-07-06 11:17:31
BNK-0000387,2026-07-06,M014-e22d4ae5,256262,USD,CREDIT,BANK,2026-07-06 14:59:13
BNK-0000388,2026-07-06,M018-675dbd99,214293,GBP,CREDIT,BANK,2026-07-06 02:21:33
BNK-0000389,2026-07-06,M007-6a395dfe,44656,JPY,CREDIT,BANK,2026-07-06 15:43:12
BNK-0000390,2026-07-06,M019-f6f4572b,248123,JPY,CREDIT,BANK,2026-07-06 06:59:17
BNK-0000391,2026-07-06,M003-dabc4e01,52759,JPY,CREDIT,BANK,2026-07-06 19:15:31
BNK-0000392,2026-07-06,M016-cd9504bc,267062,GBP,CREDIT,BANK,2026-07-06 18:21:45
BNK-0000393,2026-07-06,M019-c59340af,178488,EUR,CREDIT,BANK,2026-07-06 15:49:36
BNK-0000394,2026-07-06,M009-baf3a8c8,273649,GBP,CREDIT,BANK,2026-07-06 05:32:45
BNK-0000395,2026-07-06,M012-9f5c0266,144808,USD,CREDIT,BANK,2026-07-06 01:57:59
BNK-0000396,2026-07-06,M005-71d83342,163318,EUR,CREDIT,BANK,2026-07-06 15:39:29
BNK-0000397,2026-07-06,M005-1fcd2549,439205,JPY,CREDIT,BANK,2026-07-06 06:05:50
BNK-0000398,2026-07-06,M004-53e5356b,11626,USD,CREDIT,BANK,2026-07-06 14:45:14
BNK-0000399,2026-07-06,M007-acd8e7f0,63630,GBP,CREDIT,BANK,2026-07-06 16:49:19
BNK-0000400,2026-07-06,M006-b1e1e0ee,94518,EUR,CREDIT,BANK,2026-07-06 18:25:22
BNK-0000401,2026-07-06,M020-414f5c50,346380,GBP,CREDIT,BANK,2026-07-06 00:42:14
BNK-0000402,2026-07-06,M017-d6cdaf5a,442943,USD,CREDIT,BANK,2026-07-06 06:24:46
BNK-0000403,2026-07-06,M007-0aa8a5f8,474091,GBP,CREDIT,BANK,2026-07-06 01:25:45
BNK-0000404,2026-07-06,M003-4d2d9d02,487798,JPY,CREDIT,BANK,2026-07-06 19:44:50
BNK-0000405,2026-07-06,M005-3de82eb3,197566,USD,CREDIT,BANK,2026-07-06 02:52:46
BNK-0000406,2026-07-06,M003-6d8eacf3,145949,GBP,CREDIT,BANK,2026-07-06 04:46:42
BNK-0000407,2026-07-07,M002-c781ef02,184551,EUR,CREDIT,BANK,2026-07-07 17:18:11
BNK-0000408,2026-07-06,M007-29a54358,315057,JPY,CREDIT,BANK,2026-07-06 15:21:13
BNK-0000409,2026-07-06,M006-8817592c,248656,EUR,CREDIT,BANK,2026-07-06 09:04:10
BNK-0000410,2026-07-06,M015-fa1c7ef6,51755,EUR,CREDIT,BANK,2026-07-06 22:57:27
BNK-0000411,2026-07-08,M006-c54fff8b,290716,USD,CREDIT,BANK,2026-07-08 03:56:37
BNK-0000412,2026-07-06,M019-3bc34f9a,85251,GBP,CREDIT,BANK,2026-07-06 20:03:26
BNK-0000413,2026-07-06,M018-a6e39ebb,164750,EUR,CREDIT,BANK,2026-07-06 10:41:32
BNK-0000414,2026-07-06,M007-69972d06,189124,EUR,CREDIT,BANK,2026-07-06 05:25:00
BNK-0000415,2026-07-08,M007-3936081d,395097,USD,CREDIT,BANK,2026-07-08 01:57:28
BNK-0000416,2026-07-06,M011-b5065736,270299,USD,CREDIT,BANK,2026-07-06 17:25:38
BNK-0000417,2026-07-06,M009-c02d384d,354051,GBP,CREDIT,BANK,2026-07-06 06:06:40
BNK-0000418,2026-07-06,M001-c5bb4bb8,28746,USD,CREDIT,BANK,2026-07-06 04:42:05
BNK-0000419,2026-07-06,M006-33593fde,79717,EUR,CREDIT,BANK,2026-07-06 05:43:06
BNK-0000420,2026-07-06,M001-4707b72f,124025,USD,CREDIT,BANK,2026-07-06 15:22:22
BNK-0000421,2026-07-06,M014-71e71562,250004,GBP,CREDIT,BANK,2026-07-06 16:52:26
BNK-0000422,2026-07-06,M011-2d92e745,177838,USD,CREDIT,BANK,2026-07-06 05:22:02
BNK-0000423,2026-07-06,M011-d51f3519,370454,USD,CREDIT,BANK,2026-07-06 00:28:50
BNK-0000424,2026-07-08,M011-6c576d8e,53918,USD,CREDIT,BANK,2026-07-08 18:02:51
BNK-0000425,2026-07-06,M001-36d29ba7,347206,EUR,CREDIT,BANK,2026-07-06 01:54:43
BNK-0000426,2026-07-06,M011-dd242216,20071,EUR,CREDIT,BANK,2026-07-06 13:22:57
BNK-0000427,2026-07-06,M004-863fe92f,263450,JPY,CREDIT,BANK,2026-07-06 19:26:54
BNK-0000428,2026-07-06,M003-05123a71,229386,JPY,CREDIT,BANK,2026-07-06 21:43:20
BNK-0000429,2026-07-08,M009-d85ee504,89665,GBP,CREDIT,BANK,2026-07-08 08:15:26
BNK-0000430,2026-07-06,M008-33c27041,345721,EUR,CREDIT,BANK,2026-07-06 18:07:06
BNK-0000431,2026-07-06,M003-e696fa4b,309665,GBP,CREDIT,BANK,2026-07-06 20:44:40
BNK-0000432,2026-07-06,M018-40dd5198,325011,EUR,CREDIT,BANK,2026-07-06 09:46:19
BNK-0000433,2026-07-06,M015-7c99c18f,271513,GBP,CREDIT,BANK,2026-07-06 16:50:07
BNK-0000434,2026-07-06,M007-9eb2b67d,452111,JPY,CREDIT,BANK,2026-07-06 09:07:19
BNK-0000435,2026-07-06,M009-81abd1d9,363843,GBP,CREDIT,BANK,2026-07-06 01:58:59
BNK-0000436,2026-07-06,M008-35f3b68f,176890,GBP,CREDIT,BANK,2026-07-06 14:38:56
BNK-0000437,2026-07-06,M014-4a455b81,151395,JPY,CREDIT,BANK,2026-07-06 17:09:27
BNK-0000438,2026-07-06,M008-1dd64b33,19491,GBP,CREDIT,BANK,2026-07-06 07:54:50
BNK-0000439,2026-07-06,M015-0cc5c0b3,312195,JPY,CREDIT,BANK,2026-07-06 12:28:04
BNK-0000440,2026-07-06,M011-66079367,356495,EUR,CREDIT,BANK,2026-07-06 17:50:15
BNK-0000441,2026-07-06,M019-a2e376e9,63837,GBP,CREDIT,BANK,2026-07-06 20:23:45
BNK-0000442,2026-07-06,M012-3ac7d7a7,473267,USD,CREDIT,BANK,2026-07-06 12:12:31
BNK-0000443,2026-07-06,M002-fe01ce75,141378,GBP,CREDIT,BANK,2026-07-06 11:28:35
BNK-0000444,2026-07-07,M016-8e29e602,83883,JPY,CREDIT,BANK,2026-07-07 06:21:54
BNK-0000445,2026-07-06,M006-de9bb53f,2932,GBP,CREDIT,BANK,2026-07-06 04:16:18
BNK-0000446,2026-07-06,M010-ba892b3b,115793,EUR,CREDIT,BANK,2026-07-06 06:06:45
BNK-0000447,2026-07-06,M018-3a5d0b7c,72368,GBP,CREDIT,BANK,2026-07-06 03:43:42
BNK-0000448,2026-07-06,M012-5e5b10c7,135559,JPY,CREDIT,BANK,2026-07-06 07:42:05
BNK-0000449,2026-07-06,M011-ff652558,354360,JPY,CREDIT,BANK,2026-07-06 03:33:22
BNK-0000450,2026-07-06,M017-5a94f348,368322,EUR,CREDIT,BANK,2026-07-06 19:40:51
BNK-0000451,2026-07-07,M007-a4bfe513,352453,EUR,CREDIT,BANK,2026-07-07 02:31:15
BNK-0000452,2026-07-06,M019-5007e2e7,140485,EUR,CREDIT,BANK,2026-07-06 03:14:23
BNK-0000453,2026-07-06,M007-a04ab220,471355,GBP,CREDIT,BANK,2026-07-06 03:41:42
BNK-0000454,2026-07-06,M004-8926e801,83919,USD,CREDIT,BANK,2026-07-06 13:01:53
BNK-0000455,2026-07-06,M008-f4cece67,48215,GBP,CREDIT,BANK,2026-07-06 07:58:12
BNK-0000456,2026-07-06,M017-c1736ebe,70037,EUR,CREDIT,BANK,2026-07-06 12:26:36
BNK-0000457,2026-07-06,M017-bc65bfc5,14030,JPY,CREDIT,BANK,2026-07-06 12:48:47
BNK-0000458,2026-07-06,M005-f667b388,481681,JPY,CREDIT,BANK,2026-07-06 13:41:14
BNK-0000459,2026-07-06,M004-6ad09844,147896,JPY,CREDIT,BANK,2026-07-06 13:25:22
BNK-0000460,2026-07-06,M006-dedd634d,352691,GBP,CREDIT,BANK,2026-07-06 09:03:01
BNK-0000461,2026-07-06,M005-dc843565,116217,GBP,CREDIT,BANK,2026-07-06 05:31:06
BNK-0000462,2026-07-06,M018-f306e13d,230714,EUR,CREDIT,BANK,2026-07-06 17:37:56
BNK-0000463,2026-07-06,M010-5bb3f259,492769,EUR,CREDIT,BANK,2026-07-06 08:17:15
BNK-0000464,2026-07-06,M018-16762882,31609,USD,CREDIT,BANK,2026-07-06 06:27:45
BNK-0000465,2026-07-06,M006-e7b7d370,578,GBP,CREDIT,BANK,2026-07-06 16:03:21
BNK-0000466,2026-07-06,M004-076b1acd,365613,JPY,CREDIT,BANK,2026-07-06 09:29:22
BNK-0000467,2026-07-06,M018-d2edf85d,117422,JPY,CREDIT,BANK,2026-07-06 22:10:05
BNK-0000468,2026-07-06,M014-6e732bd0,346709,EUR,CREDIT,BANK,2026-07-06 05:19:23
BNK-0000469,2026-07-06,M007-9d64c090,428884,JPY,CREDIT,BANK,2026-07-06 18:38:37
BNK-0000470,2026-07-06,M011-41291995,176739,EUR,CREDIT,BANK,2026-07-06 20:04:43
BNK-0000471,2026-07-06,M003-5cd33e9f,13439,GBP,CREDIT,BANK,2026-07-06 11:46:36
BNK-0000472,2026-07-06,M013-c6afcc83,228433,USD,CREDIT,BANK,2026-07-06 21:07:22
BNK-0000473,2026-07-06,M015-4ec8b45d,458445,GBP,CREDIT,BANK,2026-07-06 12:55:25
BNK-0000474,2026-07-07,M009-0d21e9e2,64582,EUR,CREDIT,BANK,2026-07-07 11:28:09
BNK-0000475,2026-07-06,M013-cb4f2004,265605,GBP,CREDIT,BANK,2026-07-06 15:05:05
BNK-0000476,2026-07-06,M003-249de87a,290004,USD,CREDIT,BANK,2026-07-06 19:59:06
BNK-0000477,2026-07-06,M002-d9133d26,284958,USD,CREDIT,BANK,2026-07-06 19:20:01
BNK-0000478,2026-07-08,M009-d09ea982,151830,JPY,CREDIT,BANK,2026-07-08 06:07:44
BNK-0000479,2026-07-06,M011-a99b7d87,193528,EUR,CREDIT,BANK,2026-07-06 05:33:26
BNK-0000480,2026-07-06,M015-6440285b,496296,GBP,CREDIT,BANK,2026-07-06 11:53:55
BNK-0000481,2026-07-06,M020-53935fd1,209497,EUR,CREDIT,BANK,2026-07-06 03:19:59
BNK-0000482,2026-07-06,M013-6b9ccc6c,359319,JPY,CREDIT,BANK,2026-07-06 08:30:46
BNK-0000483,2026-07-06,M017-12725b8e,291856,GBP,CREDIT,BANK,2026-07-06 14:18:14
BNK-0000484,2026-07-06,M010-55246fa3,419096,GBP,CREDIT,BANK,2026-07-06 22:29:01
BNK-0000485,2026-07-06,M005-99286c0d,444746,EUR,CREDIT,BANK,2026-07-06 18:43:26
BNK-0000486,2026-07-06,M015-c037c870,231187,USD,CREDIT,BANK,2026-07-06 00:34:05
BNK-0000487,2026-07-06,M015-27e961b1,305236,JPY,CREDIT,BANK,2026-07-06 15:31:03
BNK-0000488,2026-07-06,M004-f4c4e8bc,329803,USD,CREDIT,BANK,2026-07-06 08:15:26
BNK-0000489,2026-07-06,M003-69a1b31a,314396,GBP,CREDIT,BANK,2026-07-06 13:31:18
BNK-0000490,2026-07-06,M009-eeeea353,491676,GBP,CREDIT,BANK,2026-07-06 17:16:07
BNK-0000491,2026-07-06,M005-fa6aef15,71367,EUR,CREDIT,BANK,2026-07-06 05:29:48
BNK-0000492,2026-07-06,M002-2e00fd2d,234044,EUR,CREDIT,BANK,2026-07-06 10:58:37
BNK-0000493,2026-07-06,M005-7a9fdc10,307583,USD,CREDIT,BANK,2026-07-06 17:50:46
BNK-0000494,2026-07-06,M020-a0031dff,106303,JPY,CREDIT,BANK,2026-07-06 13:51:56
BNK-0000495,2026-07-06,M004-0c8d2fc3,304400,JPY,CREDIT,BANK,2026-07-06 07:37:24
BNK-0000496,2026-07-06,M013-03f91d80,261314,USD,CREDIT,BANK,2026-07-06 11:46:31
BNK-0000497,2026-07-06,M008-c391a97c,302748,GBP,CREDIT,BANK,2026-07-06 05:19:35
BNK-0000498,2026-07-06,M019-4f91904a,225881,USD,CREDIT,BANK,2026-07-06 13:36:03
BNK-0000499,2026-07-06,M002-587c7a43,16394,EUR,CREDIT,BANK,2026-07-06 21:35:40
BNK-0000500,2026-07-06,M017-4e59b08f,499090,JPY,CREDIT,BANK,2026-07-06 13:24:19
BNK-0000501,2026-07-06,M004-c2aa24c4,439724,EUR,CREDIT,BANK,2026-07-06 00:47:21
BNK-0000502,2026-07-06,M018-e4f36497,304502,USD,CREDIT,BANK,2026-07-06 18:35:10
BNK-0000503,2026-07-06,M002-ea45ac4e,51414,GBP,CREDIT,BANK,2026-07-06 09:11:20
BNK-0000504,2026-07-06,M009-b4703690,71157,EUR,CREDIT,BANK,2026-07-06 10:59:24
BNK-0000505,2026-07-06,M004-5e32bc55,482611,GBP,CREDIT,BANK,2026-07-06 23:34:39
BNK-0000506,2026-07-06,M001-247e1de3,476716,USD,CREDIT,BANK,2026-07-06 19:29:35
BNK-0000507,2026-07-06,M008-eb4c29d9,374565,JPY,CREDIT,BANK,2026-07-06 16:48:27
BNK-0000508,2026-07-06,M004-e96f9c23,229180,EUR,CREDIT,BANK,2026-07-06 23:16:06
BNK-0000509,2026-07-06,M019-8f8c375d,452304,JPY,CREDIT,BANK,2026-07-06 04:11:42
BNK-0000510,2026-07-06,M001-ac32c49d,461594,JPY,CREDIT,BANK,2026-07-06 01:24:41
BNK-0000511,2026-07-06,M010-9f4580d0,234084,GBP,CREDIT,BANK,2026-07-06 20:13:16
BNK-0000512,2026-07-06,M018-d0ed6227,196299,JPY,CREDIT,BANK,2026-07-06 15:28:57
BNK-0000513,2026-07-06,M007-edbc3729,194922,JPY,CREDIT,BANK,2026-07-06 19:54:03
BNK-0000514,2026-07-06,M019-bd57da8c,398606,JPY,CREDIT,BANK,2026-07-06 07:11:41
BNK-0000515,2026-07-06,M016-6151b926,19587,JPY,CREDIT,BANK,2026-07-06 17:01:05
BNK-0000516,2026-07-06,M010-d212562c,472081,JPY,CREDIT,BANK,2026-07-06 10:42:30
BNK-0000517,2026-07-06,M017-4ad7312f,189763,GBP,CREDIT,BANK,2026-07-06 17:47:23
